iter	Passed	Remaining
0	4	4687
1	8	4373
2	13	4613
3	18	4499
4	22	4395
5	26	4349
6	31	4457
7	35	4403
8	40	4475
9	45	4501
10	50	4530
11	53	4397
12	58	4422
13	63	4468
14	67	4437
15	71	4423
16	76	4451
17	81	4428
18	85	4405
19	89	4381
20	94	4390
21	98	4371
22	102	4355
23	106	4330
24	111	4367
25	117	4393
26	121	4372
27	126	4393
28	130	4376
29	134	4358
30	138	4337
31	143	4346
32	148	4355
33	152	4336
34	157	4330
35	161	4332
36	165	4318
37	170	4306
38	176	4345
39	180	4330
40	184	4314
41	188	4307
42	192	4293
43	197	4287
44	201	4271
45	206	4272
46	210	4277
47	215	4269
48	219	4254
49	224	4267
50	228	4253
51	232	4240
52	236	4232
53	242	4242
54	246	4229
55	250	4216
56	254	4205
57	259	4214
58	263	4205
59	267	4194
60	273	4208
61	277	4199
62	281	4188
63	285	4179
64	289	4169
65	293	4157
66	297	4149
67	301	4138
68	307	4143
69	311	4137
70	315	4129
71	320	4135
72	325	4130
73	329	4119
74	333	4109
75	338	4115
76	342	4106
77	346	4096
78	350	4088
79	353	4066
80	358	4068
81	362	4059
82	366	4050
83	372	4057
84	376	4048
85	380	4040
86	384	4034
87	388	4025
88	392	4016
89	396	4007
90	401	4008
91	406	4010
92	410	4003
93	415	4000
94	420	4004
95	424	3999
96	429	3998
97	435	4006
98	439	3999
99	443	3995
100	448	3989
101	453	3991
102	457	3985
103	461	3978
104	465	3971
105	470	3971
106	475	3966
107	479	3959
108	483	3952
109	487	3945
110	491	3937
111	495	3930
112	501	3934
113	505	3927
114	510	3925
115	515	3925
116	520	3925
117	522	3905
118	525	3888
119	529	3881
120	534	3883
121	538	3877
122	542	3870
123	546	3862
124	551	3863
125	555	3855
126	560	3849
127	564	3847
128	571	3855
129	575	3848
130	579	3843
131	583	3836
132	587	3829
133	591	3822
134	595	3818
135	600	3817
136	605	3811
137	608	3803
138	614	3803
139	618	3798
140	622	3791
141	626	3785
142	631	3784
143	635	3778
144	639	3770
145	644	3769
146	649	3770
147	654	3765
148	658	3760
149	664	3764
150	668	3760
151	673	3755
152	677	3752
153	682	3750
154	687	3747
155	692	3744
156	697	3747
157	702	3742
158	706	3738
159	712	3740
160	717	3737
161	721	3733
162	726	3732
163	732	3732
164	736	3727
165	741	3723
166	746	3724
167	751	3720
168	755	3715
169	761	3719
170	766	3716
171	771	3713
172	776	3711
173	781	3707
174	785	3703
175	790	3699
176	795	3699
177	800	3695
178	804	3688
179	809	3686
180	813	3681
181	817	3674
182	822	3672
183	828	3672
184	832	3665
185	836	3658
186	840	3655
187	845	3652
188	849	3646
189	853	3640
190	859	3638
191	863	3633
192	867	3627
193	871	3622
194	876	3616
195	880	3609
196	884	3603
197	888	3597
198	892	3592
199	897	3589
200	901	3582
201	905	3578
202	910	3576
203	913	3565
204	917	3558
205	921	3553
206	926	3549
207	930	3543
208	934	3537
209	939	3534
210	943	3528
211	947	3521
212	952	3518
213	957	3518
214	961	3512
215	966	3507
216	971	3504
217	975	3498
218	979	3492
219	983	3485
220	987	3481
221	993	3480
222	997	3474
223	1001	3468
224	1006	3467
225	1010	3461
226	1014	3455
227	1019	3450
228	1024	3448
229	1028	3441
230	1032	3435
231	1036	3432
232	1041	3427
233	1045	3421
234	1049	3416
235	1054	3414
236	1058	3408
237	1062	3402
238	1066	3396
239	1070	3390
240	1074	3384
241	1079	3381
242	1083	3375
243	1089	3374
244	1093	3368
245	1097	3362
246	1101	3357
247	1106	3355
248	1110	3350
249	1114	3344
250	1120	3343
251	1124	3339
252	1129	3335
253	1135	3334
254	1140	3330
255	1144	3327
256	1151	3330
257	1156	3327
258	1161	3323
259	1166	3320
260	1171	3316
261	1176	3312
262	1180	3308
263	1186	3308
264	1191	3304
265	1196	3300
266	1201	3297
267	1206	3296
268	1212	3294
269	1218	3293
270	1223	3289
271	1227	3285
272	1231	3280
273	1236	3276
274	1241	3272
275	1246	3268
276	1251	3267
277	1256	3263
278	1261	3260
279	1266	3256
280	1271	3254
281	1276	3249
282	1281	3245
283	1286	3242
284	1292	3241
285	1296	3237
286	1301	3233
287	1306	3230
288	1310	3224
289	1315	3219
290	1320	3217
291	1324	3211
292	1328	3206
293	1332	3200
294	1338	3198
295	1342	3192
296	1346	3186
297	1349	3177
298	1353	3172
299	1357	3167
300	1361	3162
301	1366	3157
302	1371	3154
303	1375	3148
304	1379	3143
305	1383	3137
306	1388	3133
307	1393	3131
308	1397	3125
309	1403	3123
310	1407	3118
311	1411	3113
312	1416	3108
313	1421	3105
314	1425	3099
315	1429	3094
316	1436	3095
317	1441	3092
318	1446	3086
319	1450	3081
320	1454	3077
321	1458	3071
322	1462	3065
323	1467	3062
324	1471	3056
325	1475	3051
326	1479	3045
327	1485	3042
328	1489	3037
329	1494	3033
330	1498	3028
331	1504	3026
332	1508	3021
333	1512	3016
334	1518	3013
335	1522	3007
336	1526	3002
337	1531	2999
338	1535	2994
339	1539	2989
340	1543	2983
341	1548	2978
342	1552	2973
343	1556	2968
344	1560	2962
345	1565	2959
346	1569	2953
347	1573	2948
348	1577	2943
349	1583	2940
350	1587	2935
351	1591	2930
352	1596	2926
353	1601	2922
354	1605	2917
355	1611	2915
